SP80053ControlDetailIndex,SP80053ID,SP80053ControlDetailID,SP80053ControlDetailEnhancement,SP80053ControlDetailEnhancementID,SP80053ControlDetailEnhancementTitle,SP80053ControlDetailShortTitle,SP80053ControlDetailDescription,SP80053ControlDetailAssignment,SP80053ControlDetailTier,SP80053ControlDetailDesignation,SP80053ControlDetailSupplementalGuidance,SP80053ControlDetailReference,SP80053ControlDetailPriority,SP80053ControlDetailAssurance,SP80053ControlDetailBaseline,SP80053ControlDetailBaselineMod,SP80053ControlDetailBaselineHigh,SP80053ControlIndex
128,AC-3 (4)(e),3 (4)(e),1,(4)(e),Discretionary Access Control,Discretionary Access Control,The information system enforces [Assignment: organization-defined discretionary access control policy] over defined subjects and objects where the policy specifies that a subject that has been granted access to information can change the rules governing access control.,Assignment: organization-defined discretionary access control policy,Information System,,,,P1,0,0,0,0,3
129,AC-3 (5),3 (5),1,5,Security-Relevant Information,Security-Relevant Information,"The information system prevents access to [Assignment: organization-defined security-relevant information] except during secure, non-operable system states.",Assignment: organization-defined security-relevant information,Information System,,,,P1,0,0,0,0,3
130,AC-3 (7),3 (7),1,7,Role-Based Access Control,Role-Based Access Control,The information system enforces a role-based access control policy over defined subjects and objects and controls access based upon [Assignment: organization-defined roles and users authorized to assume such roles].,Assignment: organization-defined roles and users authorized to assume such roles,Information System,,,,P1,0,0,0,0,3
131,AC-3 (8),3 (8),1,8,Revocation Of Access Authorizations,Revocation Of Access Authorizations,The information system enforces the revocation of access authorizations resulting from changes to the security attributes of subjects and objects based on [Assignment: organization-defined rules governing the timing of revocations of access authorizations,,Information System,,,,P1,0,0,0,0,3
132,AC-3 (9)(a),3 (9)(a),1,(9)(a),Controlled Release,Controlled Release,The information system does not release information outside of the established system boundary unless the receiving [Assignment: organization-defined information system or system component] provides [Assignment: organization-defined security safeguards].,Assignment: organization-defined information system or system component,Information System,,,,P1,0,0,0,0,3
133,AC-3 (9)(b),3 (9)(b),1,(9)(b),Controlled Release,Controlled Release,The information system does not release information outside of the established system boundary unless [Assignment: organization-defined security safeguards] are used to validate the appropriateness of the information designated for release.,Assignment: organization-defined security safeguards,Information System,,,,P1,0,0,0,0,3
134,AC-4,4,0,,,Authorization-Based Information Flow,The information system enforces approved authorizations for controlling the flow of information within the system and between interconnected systems based on [Assignment: organization-defined information flow control policies].,Assignment: organization-defined information flow control policies,Information System,,,,P1,0,0,1,1,4
135,AC-4 (1),4 (1),1,1,Object Security Attributes,Object Security Attributes,"The information system uses [Assignment: organization-defined security attributes] associated with [Assignment: organization-defined information, source, and destination objects] to enforce [Assignment: organization-defined information flow control policies] as a basis for flow control decisions.",Assignment: organization-defined security attributes,Information System,,,,P1,0,0,0,0,4
136,AC-4 (10),4 (10),1,10,Enable / Disable Security Policy Filters,Security Policy Administration,The information system provides the capability for privileged administrators to enable/disable [Assignment: organization-defined security policy filters] under the following conditions: [Assignment: organization-defined conditions].,Assignment: organization-defined security policy filters,Information System,,,,P1,0,0,0,0,4
137,AC-4 (11),4 (11),1,11,Configuration Of Security Policy Filters,Configuration Of Security Policy Filters,The information system provides the capability for privileged administrators to configure [Assignment: organization-defined security policy filters] to support different security policies.,Assignment: organization-defined security policy filters,Information System,,,,P1,0,0,0,0,4
138,AC-4 (12),4 (12),1,12,Data Type Identifiers,Data Type Identifiers,"The information system, when transferring information between different security domains, uses [Assignment: organization-defined data type identifiers] to validate data essential for information flow decisions.",Assignment: organization-defined data type identifiers,Information System,,,,P1,0,0,0,0,4
139,AC-4 (13),4 (13),1,13,Decomposition Into Policy-Relevant Subcomponents,Decomposition Into Policy-Relevant Subcomponents,"The information system, when transferring information between different security domains, decomposes information into [Assignment: organization-defined policy-relevant subcomponents] for submission to policy enforcement mechanisms.",Assignment: organization-defined policy-relevant subcomponents,Information System,,,,P1,0,0,0,0,4
140,AC-4 (14),4 (14),1,14,Security Policy Filter Constraints,Security Policy Filter Constraints,"The information system, when transferring information between different security domains, implements [Assignment: organization-defined security policy filters] requiring fully enumerated formats that restrict data structure and content.",Assignment: organization-defined security policy filters,Information System,,,,P1,0,0,0,0,4
141,AC-4 (15),4 (15),1,15,Detection Of Unsanctioned Information,Detection Of Unsanctioned Information,"The information system, when transferring information between different security domains, examines the information for the presence of [Assignment: organized-defined unsanctioned information] and prohibits the transfer of such information in accordance with the [Assignment: organization-defined security policy].",Assignment: organized-defined unsanctioned information,Information System,,,,P1,0,0,0,0,4
142,AC-4 (17),4 (17),1,17,Domain Authentication,Authenticated Source and Destination,"The information system uniquely identifies and authenticates source and destination points by [Selection (one or more): organization, system, application, individual] for information transfer.","Selection (one or more): organization, system, application, individual",Information System,,,,P1,0,0,0,0,4
143,AC-4 (18),4 (18),1,18,Security Attribute Binding,Security Attribute Binding,The information system binds security attributes to information using [Assignment: organization-defined binding techniques] to facilitate information flow policy enforcement.,Assignment: organization-defined binding techniques,Information System,,,,P1,0,0,0,0,4
144,AC-4 (19),4 (19),1,19,Validation Of Metadata,Validation Of Metadata,"The information system, when transferring information between different security domains, applies the same security policy filtering to metadata as it applies to data payloads.",,Information System,,,,P1,0,0,0,0,4
145,AC-4 (2),4 (2),1,2,Processing Domains,Processing Domains,The information system uses protected processing domains to enforce [Assignment: organization-defined information flow control policies] as a basis for flow control decisions.,Assignment: organization-defined information flow control policies,Information System,,,,P1,0,0,0,0,4
